timestamp,event_type,slot,gate,duration_seconds,fee,message
2026-03-17 15:40:34,heartbeat,,,,,Heartbeat
2026-03-17 15:40:44,heartbeat,,,,,Heartbeat
2026-03-17 15:40:54,heartbeat,,,,,Heartbeat
2026-03-17 15:41:05,heartbeat,,,,,Heartbeat
2026-03-17 15:41:15,heartbeat,,,,,Heartbeat
2026-03-17 15:41:25,led_changed,,,,,LED turned off
2026-03-17 15:41:25,heartbeat,,,,,Heartbeat
2026-03-17 15:41:26,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:41:26,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:41:35,heartbeat,,,,,Heartbeat
2026-03-17 15:41:46,heartbeat,,,,,Heartbeat
2026-03-17 15:41:56,heartbeat,,,,,Heartbeat
2026-03-17 15:42:06,heartbeat,,,,,Heartbeat
2026-03-17 15:42:16,heartbeat,,,,,Heartbeat
2026-03-17 15:42:27,heartbeat,,,,,Heartbeat
2026-03-17 15:42:48,heartbeat,,,,,Heartbeat
2026-03-17 15:42:58,heartbeat,,,,,Heartbeat
2026-03-17 15:43:08,heartbeat,,,,,Heartbeat
2026-03-17 15:43:19,heartbeat,,,,,Heartbeat
2026-03-17 15:43:29,heartbeat,,,,,Heartbeat
2026-03-17 15:43:39,heartbeat,,,,,Heartbeat
2026-03-17 15:43:46,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:43:50,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:43:50,heartbeat,,,,,Heartbeat
2026-03-17 15:43:57,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 15:44:00,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:44:00,heartbeat,,,,,Heartbeat
2026-03-17 15:44:07,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:44:10,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:44:10,heartbeat,,,,,Heartbeat
2026-03-17 15:44:21,heartbeat,,,,,Heartbeat
2026-03-17 15:44:23,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:44:27,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:44:28,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:44:31,heartbeat,,,,,Heartbeat
2026-03-17 15:44:41,heartbeat,,,,,Heartbeat
2026-03-17 15:44:51,heartbeat,,,,,Heartbeat
2026-03-17 15:45:11,heartbeat,,,,,Heartbeat
2026-03-17 15:45:22,heartbeat,,,,,Heartbeat
2026-03-17 15:45:32,heartbeat,,,,,Heartbeat
2026-03-17 15:45:35,parking_started,slot3,,,,slot3 occupied
2026-03-17 15:45:39,parking_finished,slot4,,,,slot4 freed
2026-03-17 15:45:52,heartbeat,,,,,Heartbeat
2026-03-17 15:46:02,heartbeat,,,,,Heartbeat
2026-03-17 15:46:05,parking_started,slot1,,,,slot1 occupied
2026-03-17 15:46:12,heartbeat,,,,,Heartbeat
2026-03-17 15:46:20,parking_finished,slot1,,14,1000,slot1 freed | Duration: 14s | Fee: 1000 Riel
2026-03-17 15:46:23,heartbeat,,,,,Heartbeat
2026-03-17 15:46:33,heartbeat,,,,,Heartbeat
2026-03-17 15:46:43,heartbeat,,,,,Heartbeat
2026-03-17 15:46:53,heartbeat,,,,,Heartbeat
2026-03-17 17:37:35,heartbeat,,,,,Heartbeat
2026-03-17 17:37:42,parking_finished,slot2,,,,slot2 freed
2026-03-17 17:37:43,parking_finished,slot1,,,,slot1 freed
2026-03-17 17:37:44,parking_started,slot2,,,,slot2 occupied
2026-03-17 17:37:45,heartbeat,,,,,Heartbeat
2026-03-17 17:37:46,parking_started,slot1,,,,slot1 occupied
2026-03-17 17:37:55,heartbeat,,,,,Heartbeat
2026-03-17 17:37:56,parking_finished,slot1,,9,0,slot1 freed | Duration: 9s | Fee: 0 Riel
2026-03-17 17:37:56,parking_finished,slot2,,11,1000,slot2 freed | Duration: 11s | Fee: 1000 Riel
2026-03-17 17:37:58,parking_finished,slot3,,,,slot3 freed
2026-03-17 17:38:05,heartbeat,,,,,Heartbeat
2026-03-17 17:38:10,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:38:12,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:38:13,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 17:38:14,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:38:15,heartbeat,,,,,Heartbeat
2026-03-17 17:38:19,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:38:21,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 17:38:26,heartbeat,,,,,Heartbeat
2026-03-17 17:38:36,heartbeat,,,,,Heartbeat
2026-03-17 17:38:46,heartbeat,,,,,Heartbeat
2026-03-17 17:38:56,heartbeat,,,,,Heartbeat
2026-03-17 17:39:06,heartbeat,,,,,Heartbeat
2026-03-17 17:39:08,vehicle_at_entry,,,,,Vehicle detected at entry (6.21 cm)
2026-03-17 17:39:08,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:39:09,entry_clear,,,,,Entry area clear
2026-03-17 17:39:12,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:39:16,heartbeat,,,,,Heartbeat
2026-03-17 17:39:27,heartbeat,,,,,Heartbeat
2026-03-17 17:39:37,heartbeat,,,,,Heartbeat
2026-03-17 17:39:47,heartbeat,,,,,Heartbeat
2026-03-17 17:39:57,heartbeat,,,,,Heartbeat
2026-03-17 17:40:07,heartbeat,,,,,Heartbeat
2026-03-17 17:40:17,heartbeat,,,,,Heartbeat
2026-03-17 17:40:28,heartbeat,,,,,Heartbeat
2026-03-17 17:40:38,heartbeat,,,,,Heartbeat
2026-03-17 17:40:48,heartbeat,,,,,Heartbeat
2026-03-17 17:40:58,heartbeat,,,,,Heartbeat
2026-03-17 17:41:08,heartbeat,,,,,Heartbeat
2026-03-17 17:41:19,heartbeat,,,,,Heartbeat
2026-03-17 17:41:29,heartbeat,,,,,Heartbeat
2026-03-17 17:41:39,heartbeat,,,,,Heartbeat
2026-03-17 17:41:49,heartbeat,,,,,Heartbeat
2026-03-17 17:41:59,heartbeat,,,,,Heartbeat
2026-03-17 17:42:09,heartbeat,,,,,Heartbeat
2026-03-17 17:42:20,heartbeat,,,,,Heartbeat
2026-03-17 17:42:30,heartbeat,,,,,Heartbeat
2026-03-17 17:42:40,heartbeat,,,,,Heartbeat
2026-03-17 17:42:50,heartbeat,,,,,Heartbeat
2026-03-17 17:43:00,heartbeat,,,,,Heartbeat
2026-03-17 17:43:10,heartbeat,,,,,Heartbeat
2026-03-17 17:43:13,vehicle_at_entry,,,,,Vehicle detected at entry (3.29 cm)
2026-03-17 17:43:13,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:43:14,entry_clear,,,,,Entry area clear
2026-03-17 17:43:15,vehicle_at_entry,,,,,Vehicle detected at entry (5.23 cm)
2026-03-17 17:43:15,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:43:15,entry_clear,,,,,Entry area clear
2026-03-17 17:43:17,parking_started,slot1,,,,slot1 occupied
2026-03-17 17:43:18,entry_gate_closed,,entry,,,Entry gate closed
